City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Campbellton,56,CA,1554176941,66,48.0,-66.68,27.34,12.46
Jucurutu,92,BR,1554176881,97,-6.03,-37.02,72.34,2.73
Dharchula,0,IN,1554176943,60,29.85,80.53,40.03,2.17
Gao,32,ML,1554176945,31,16.28,-0.04,81.88,9.22
Airai,24,TL,1554176360,73,-8.93,125.41,80.17,1.61
Nizhniy Kuranakh,0,RU,1554176947,56,58.84,125.49,31.57,3.74
Qostanay,0,KZ,1554174000,82,53.17,63.58,37.4,4.47
Otjiwarongo,0,NA,1554176949,83,-20.46,16.65,60.01,3.62
San Policarpo,92,PH,1554176461,94,12.18,125.51,78.91,13.91
Bemidji,1,US,1554176801,80,47.48,-94.89,30.99,8.05
Staryy Nadym,0,RU,1554176953,87,65.61,72.68,20.77,11.12
Guangyuan,92,CN,1554176889,75,32.43,105.86,66.99,3.18
Praia da Vitoria,75,PT,1554176719,82,38.73,-27.07,55.4,24.87
La Ronge,75,CA,1554174000,58,55.1,-105.3,26.6,19.46
Urucara,44,BR,1554176958,81,-2.54,-57.76,78.37,4.07
Ayan,48,TR,1554176464,82,40.67,33.6,23.83,2.28
Butterworth,75,MY,1554175800,66,5.4,100.37,87.8,1.12
Sehithwa,32,BW,1554176962,64,-20.47,22.7,69.19,11.34
Camocim,68,BR,1554176963,96,-2.9,-40.84,74.41,7.2
Harper,1,US,1554176854,57,30.3,-99.24,53.01,4.7
Garowe,80,SO,1554176479,91,8.41,48.48,66.31,4.18
Kamuli,8,UG,1554176967,94,0.94,33.12,65.32,2.95
Antofagasta,20,CL,1554174000,63,-23.65,-70.4,64.4,5.82
Dedovichi,0,RU,1554176969,84,57.55,29.95,21.22,3.62
Azanka,0,RU,1554176971,79,58.04,64.79,31.93,6.98
Singkang,75,MY,1554174000,70,2.1,102.8,87.8,3.36
Boituva,0,BR,1554176731,77,-23.29,-47.68,72.0,12.75
Dalvik,8,SE,1554175836,74,57.79,14.13,30.99,11.41
Auki,0,NG,1554176976,30,12.18,6.51,69.37,8.21
Sao Desiderio,80,BR,1554176977,89,-12.36,-44.97,71.98,4.74
Goderich,80,CA,1554176792,73,43.74,-81.71,36.0,5.01
Fuerte Olimpo,56,BR,1554176979,76,-21.04,-57.87,78.46,5.97
Wanning,0,AT,1554176928,56,48.64,13.53,41.0,6.93
Kaele,0,CM,1554176982,22,10.11,14.45,76.21,11.68
Richards Bay,92,ZA,1554176763,100,-28.77,32.06,63.97,11.45
Sterling,1,US,1554176967,80,39.0,-77.4,41.0,4.63
Khrebtovaya,80,RU,1554176985,62,56.71,104.25,31.66,7.99
Nuuk,92,GL,1554173400,92,64.17,-51.74,23.0,17.22
Mecca,0,SA,1554176988,55,21.43,39.83,48.31,2.95
Ahipara,68,NZ,1554176332,85,-35.17,173.16,67.39,15.7
Bathsheba,40,BB,1554174000,73,13.22,-59.52,77.0,16.11
Guarapari,40,BR,1554176953,94,-20.67,-40.5,73.99,3.36
Pacific Grove,20,US,1554176977,72,36.62,-121.92,61.0,6.93
Vestmanna,68,FO,1554175200,100,62.16,-7.17,32.0,4.7
Coromandel,0,NZ,1554176885,56,-36.76,175.5,73.0,18.34
Lavrentiya,48,RU,1554176762,100,65.58,-170.99,28.33,1.16
Tilichiki,92,RU,1554176567,93,60.47,166.1,34.72,11.9
Posse,44,BR,1554176999,65,-14.08,-46.36,76.3,5.86
San Diego de la Union,12,MX,1554177000,35,21.47,-100.87,58.93,3.96
Nome,1,US,1554176252,81,30.04,-94.42,50.0,3.36
Nanortalik,92,GL,1554176377,100,60.14,-45.24,26.8,29.57
Port Said,0,EG,1554177004,49,25.34,30.55,45.52,2.84
Elizabeth City,1,US,1554177004,65,36.3,-76.22,42.01,6.42
Letlhakane,8,BW,1554177006,59,-21.42,25.59,65.41,8.21
Verkhnevilyuysk,24,RU,1554177008,62,63.45,120.31,34.0,5.75
Phan Thiet,36,VN,1554176969,82,10.93,108.1,83.95,11.79
Lahaina,20,US,1554176981,69,20.87,-156.68,80.6,9.17
Sungaipenuh,0,ID,1554176874,73,-2.08,101.38,76.84,0.49
Kidal,0,ML,1554176892,33,18.44,1.41,76.21,11.23
Payo,12,ID,1554177014,99,-3.75,103.64,81.79,3.85
Sahuaripa,12,MX,1554177015,39,29.05,-109.23,61.99,3.18
Grand Gaube,40,MU,1554176942,94,-20.01,57.66,80.01,3.36
Mapimi,5,MX,1554176795,27,25.82,-103.85,73.4,4.7
Augusto Correa,92,BR,1554177019,96,-1.02,-46.63,75.04,2.95
Neiafu,40,TO,1554174000,65,-18.65,-173.98,82.4,8.05
Skelleftea,8,SE,1554176640,80,64.75,20.95,34.0,8.05
Barquisimeto,8,VE,1554176935,65,10.07,-69.32,72.07,7.76
Lodja,44,CD,1554177024,94,-3.52,23.6,71.89,2.28
Isiro,76,CD,1554177025,98,2.77,27.62,67.75,2.73
Biltine,0,TD,1554176549,28,14.53,20.93,68.83,10.67
Mponela,0,MW,1554174000,88,-13.53,33.74,64.4,4.7
Thenzawl,40,IN,1554174000,69,23.28,92.78,77.0,2.06
Mahbubabad,0,IN,1554177030,66,17.62,80.02,81.43,4.52
Ouidah,40,BJ,1554174000,83,6.37,2.09,84.2,9.17
Zaysan,12,KZ,1554177032,72,47.47,84.87,47.59,3.62
Maple Creek,76,CA,1554177033,48,49.91,-109.46,40.21,13.91
Skibbereen,20,IE,1554175800,86,51.55,-9.27,37.4,16.11
Gravdal,48,NO,1554177006,65,59.79,5.78,41.0,19.46
Puerto Leguizamo,76,CO,1554177037,83,-0.19,-74.78,78.46,3.62
Severodvinsk,40,RU,1554174000,68,64.56,39.82,24.8,6.71
Berdigestyakh,76,RU,1554177040,59,62.1,126.7,34.18,4.41
Ancud,90,CL,1554174000,100,-41.87,-73.83,51.8,5.41
Tarsus,75,TR,1554175200,100,36.92,34.88,52.0,2.24
Trincomalee,0,LK,1554177044,74,8.58,81.23,85.03,5.64
Rio Gallegos,90,AR,1554174000,100,-51.62,-69.22,51.8,2.24
Casa Nova,20,BR,1554177046,95,-11.77,-39.23,72.97,5.64
Port Blair,36,IN,1554176730,100,11.67,92.75,83.59,6.2
Severo-Kurilsk,76,RU,1554177048,96,50.68,156.12,31.03,8.77
Sioux Lookout,90,CA,1554175380,72,50.1,-91.92,32.0,11.41
Itoman,40,JP,1554176545,42,26.12,127.67,68.0,11.41
Inongo,12,CD,1554177052,90,-1.93,18.29,74.77,2.06
Molteno,0,ZA,1554177053,83,-31.4,26.36,32.11,4.18
Bara,0,NG,1554177055,26,10.41,10.6,73.69,9.22
Jawhar,0,IN,1554177056,73,19.91,73.23,73.69,4.63
Faya,20,SA,1554174000,87,18.39,42.45,59.0,10.29
Huescar,56,ES,1554177050,97,37.81,-2.54,48.99,2.39
Vuktyl,24,RU,1554177060,84,63.86,57.31,23.47,5.86
Grobina,0,LV,1554175200,86,56.54,21.17,30.2,2.24
Amazar,0,RU,1554176892,34,53.86,120.88,35.44,5.75
Baiyin,0,CN,1554174000,7,36.55,104.13,53.6,8.95
Vanimo,20,PG,1554177065,98,-2.67,141.3,83.68,16.71
Pemba,20,MZ,1554174000,94,-12.97,40.52,75.2,6.93
Kamyzyak,90,RU,1554174000,93,46.12,48.08,44.6,6.71
Biri,8,NO,1554177019,87,60.95,10.61,24.01,4.0
Desaguadero,92,PE,1554177070,98,-16.56,-69.04,43.9,3.18
Thunder Bay,90,CA,1554176791,59,48.41,-89.26,34.0,10.29
Pevek,0,RU,1554176650,79,69.7,170.27,29.68,17.16
Kayes,0,ML,1554177074,65,14.44,-11.44,75.94,3.29
Sinnamary,92,GF,1554176782,97,5.38,-52.96,79.63,11.23
Cerro de Pasco,64,PE,1554177076,100,-10.67,-76.25,41.92,0.38
Hualmay,44,PE,1554176338,93,-11.1,-77.61,65.5,5.19
Coahuayana,0,MX,1554176900,55,18.62,-100.35,62.35,2.17
Lamu,8,ID,1554177080,82,0.57,122.3,83.77,1.61
Nelson Bay,75,AU,1554176447,83,-32.72,152.14,73.0,5.82
Yaan,0,NG,1554177082,76,7.38,8.57,80.17,11.68
Moroceli,20,HN,1554174000,47,14.13,-86.87,75.2,4.7
Rondonopolis,36,BR,1554177085,83,-16.46,-54.64,74.23,2.73
Ternate,20,PH,1554176371,43,14.29,120.72,90.0,11.41
Kahului,40,US,1554176454,57,20.89,-156.47,81.0,11.41
Gat,0,SN,1554174000,53,14.69,-16.54,73.4,2.24
Ouahigouya,48,BF,1554177089,85,13.58,-2.42,72.61,3.06
Gazanjyk,0,TM,1554176575,91,39.24,55.52,47.86,8.55
Altay,0,CN,1554176928,70,47.83,88.13,38.77,3.06
Katsuura,75,JP,1554176055,37,33.93,134.5,52.0,13.87
Saint-Joseph,0,FR,1554177011,65,43.56,6.97,57.0,3.36
Cacule,48,BR,1554177095,94,-14.5,-42.22,68.29,5.3
Den Helder,90,NL,1554177096,75,52.96,4.76,48.2,4.7
Kayerkan,48,RU,1554177098,93,69.35,87.76,21.22,13.47
Upington,0,ZA,1554174000,26,-28.46,21.24,57.2,5.82
Voi,80,KE,1554177100,96,-3.4,38.57,69.01,2.28
Fereydun Kenar,68,IR,1554177102,100,36.69,52.52,43.54,4.29
Ulladulla,40,AU,1554175873,56,-35.36,150.48,71.6,12.75
Pontes e Lacerda,0,BR,1554177104,85,-15.23,-59.33,75.49,4.07
Tomatlan,0,MX,1554177106,88,19.93,-105.25,65.95,2.28
Warrington,75,GB,1554177071,93,53.39,-2.59,45.0,5.82
Hambantota,0,LK,1554174600,79,6.12,81.12,84.2,5.82
Massaguet,0,TD,1554174000,14,12.48,15.44,77.0,9.17
Arroyo,1,US,1554177092,54,41.39,-78.88,30.2,2.39
Kupang,75,ID,1554174000,70,-10.16,123.6,86.0,9.17
Buraydah,20,SA,1554174000,50,26.33,43.97,55.4,8.05
Ambon,90,FR,1554176901,93,47.55,-2.56,51.01,8.05
Vaitape,32,PF,1554177116,100,-16.52,-151.75,81.16,3.4
Wajima,75,JP,1554174000,86,37.4,136.9,37.4,11.41
Coquimbo,90,CL,1554174000,87,-29.95,-71.34,59.0,3.36
Iskateley,44,RU,1554177119,91,67.68,53.15,28.33,18.39
Limulunga,0,ZM,1554177121,68,-15.13,23.15,63.34,2.84
Kamareddi,0,IN,1554177122,47,18.32,78.34,82.78,6.87
El Real de Santa Maria,100,PA,1554177123,95,8.11,-77.73,77.29,2.95
Neuquen,0,AR,1554174000,48,-38.95,-68.06,66.2,5.82
Sayyan,0,YE,1554177126,85,15.17,44.32,43.09,1.16
Mettmann,0,DE,1554177127,61,51.25,6.98,48.2,10.29
Kamaishi,75,JP,1554174000,69,39.28,141.86,39.2,5.82
Arosa,20,CH,1554177129,80,46.78,9.68,46.0,1.61
Dunedin,44,NZ,1554176917,73,-45.87,170.5,53.01,10.0
Jumla,0,NP,1554177104,81,29.28,82.18,31.93,1.83
